web-scraper-order,web-scraper-start-url,pagination,name,street,zip-code,city
"1632986674-8785","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA Schulz","Kurpromenade 12","23669","Timmendorfer Strand"
"1632986685-9530","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","EDEKA Burmeister","Gieschenhagen 1a+b 1a/B 1a/b","23795","Bad Segeberg"
"1632986543-443","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Dirnberger","Neuhaus auf der Tratt 4","93170","Bernhardswald"
"1632986694-10054","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1","EDEKA Leher","Paul-Schreier-Str. 9a","16761","Hennigsdorf"
"1632986578-3100","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Schuhböck","Geisenfelder Str. 74","85077","Manching"
"1632986634-6633","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","EDEKA","Am Schützenplatz 1","49696","Molbergen"
"1632986543-1058","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA","Lohbankgasse 162","99869","Seebergen"
"1632986604-4687","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6","E aktiv markt Keller","Cornel-Serr-Platz 6","68526","Ladenburg"
"1632986543-650","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA","Marktplatz 1 a","94124","Büchlberg"
"1632986617-5366","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5","EDEKA Biermann","Kelberger Str. 39","56766","Ulmen"
"1632986661-8007","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3#","EDEKA Barleben","Breiteweg 52","39179","Barleben"
"1632986652-7475","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA Herrmann","Heinrich-Nordhoff-Str. 1","38271","Baddeckenstedt"
"1632986598-4269","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","E aktiv markt Karow-Schäfer","Maichinger Str. 33","71106","Magstadt"
"1632986553-1654","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9#","EDEKA Didis","Semmelstr. 21","97273","Kuernach"
"1632986674-8912","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA","Kieler Str. 17 A","24790","Schacht-Audorf"
"1632986589-4044","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA","Kanderweg 21","79589","Binzen"
"1632986598-4396","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7#","EDEKA Fedele","Kurt-Gscheidle-Str. 1","75323","Bad Wildbad"
"1632986578-3198","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA","Elisabethstr. 186","84577","Tuessling"
"1632986674-8672","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA","Hauptstr. 18","25488","Holm"
"1632986652-7210","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA Heil","Talbruchenstr. 8","36148","Uttrichshausen"
"1632986578-3387","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Haidorf","Kalmusstr. 2","88436","Oberessendorf"
"1632986589-3915","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","Decker´s Frische Center","Nussbacher Str. 37","77704","Oberkirch-Zusenhofen"
"1632986589-3642","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","E center Matkovic","Leonberger Str. 46-48","71254","Ditzingen"
"1632986578-2878","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA Falterer & Sohn","Hauptstr. 20","85664","Hohenlinden"
"1632986685-9250","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","Nah und Gut Baake","Bergstr. 12","27729","Vollersode"
"1632986661-7818","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3#","Herrmann GmbH & Co.KG","Gewerbestr. 2","35644","Hohenahr - Erda"
"1632986701-10400","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/1#","EDEKA Leher","Fürstenwalder Allee 326","12589","Berlin-Rahnsdorf"
"1632986652-7446","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA Klewno","Hoopstr. 4","37627","Stadtoldendorf"
"1632986543-940","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","Aktivmarkt Sczygiel & Pfister KG","Schweinfurter Str. 21","97493","Bergrheinfeld"
"1632986643-6871","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4#","EDEKA","Mellinghofer Str. 83","46047","Oberhausen"
"1632986610-5104","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/6#","EDEKA","Seligenstädter Str. 60","63456","Hanau-Klein Auheim"
"1632986652-7389","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3","EDEKA","Königsallee 249","37079","Göttingen"
"1632986578-3390","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/8#","EDEKA","Karpfenweg 12","89584","Ehingen a. d. Donau"
"1632986634-6369","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/4","E-Center","Gutenbergstr. 115","47803","Krefeld"
"1632986674-8457","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","EDEKA Kilic","Bremer Str. 31-33","21073","Hamburg"
"1632986589-3631","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/7","EDEKA Geiger","Goetzstr. 34","74238","Krautheim"
"1632986530-268","https://www.meinprospekt.de/filialen/edeka/0","","EDEKA Göldner","Froebelstr. 3","02727","Neugersdorf"
"1632986543-976","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA","Milchhofstr. 1","96450","Coburg"
"1632986661-7926","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/3#","EDEKA Walther","Alte Waldbreite 5a","38875","Elbingerode"
"1632986674-9008","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2","Frischemarkt Nissen","Jaardenhuug 9","25938","Utersum"
"1632986685-9419","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/2#","E aktiv Markt Märkl","Tangstedter Landstr. 42","22415","Hamburg-Langenhorn"
"1632986553-1313","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9#","EDEKA Eisner","Am Kirchanger 1 F 14","94572","Schöfweg"
"1632986624-5982","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/5#","EDEKA Kausemann","Frohnhofstr. 28","50765","Köln-Esch"
"1632986543-736","https://www.meinprospekt.de/filialen/edeka/0","https://www.meinprospekt.de/filialen/edeka/9","EDEKA Götz","Wildenauer Str. 7","92964","Etzenricht"
