web-scraper-order,web-scraper-start-url,pagination,PLZ,Stadt,Stadtteil,Landkreis,Bundesland
"1632988522-16656","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","35753","Greifenstein","","Lahn-Dill-Kreis","Hessen"
"1632988546-18020","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","17429","Pudagla","","Kreis Vorpommern-Greifswald","Mecklenburg-Vorpommern"
"1632988538-17833","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","275682757027576","Bremerhaven","","","Bremen"
"1632988538-17033","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","21228","Harmstorf","","Kreis Harburg","Niedersachsen"
"1632988522-16713","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","3632036326","Kirtorf","","Vogelsbergkreis","Hessen"
"1632988522-16433","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","32469","Petershagen/Weser","","Kreis Minden-Lübbecke","Nordrhein-Westfalen"
"1632988473-13654","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","71409","Schwaikheim","","Rems-Murr-Kreis","Baden-Württemberg"
"1632988522-16913","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","38557","Osloß","","Kreis Gifhorn","Niedersachsen"
"1632988485-14880","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","66909","Henschtal","","Kreis Kusel","Rheinland-Pfalz"
"1632988485-15101","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","68642","Bürstadt","","Kreis Bergstraße","Hessen"
"1632988457-12723","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","83416","Saaldorf-Surheim","","Kreis Berchtesgadener Land","Bayern"
"1632988546-18077","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","18445","Preetz b. Stralsund","","Kreis Vorpommern-Rügen","Mecklenburg-Vorpommern"
"1632988501-15669","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","56642","Kruft","","Kreis Mayen-Koblenz","Rheinland-Pfalz"
"1632988457-12541","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","81547","München","München-Harlaching","","Bayern"
"1632988473-13839","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","7323573344","Gruibingen","","Kreis Göppingen","Baden-Württemberg"
"1632988511-16051","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","46284","Dorsten","Dorsten-Holsterhausen","Kreis Recklinghausen","Nordrhein-Westfalen"
"1632988457-12869","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","84453","Mühldorf a. Inn","","Kreis Mühldorf a. Inn","Bayern"
"1632988423-11114","https://home.meinestadt.de/deutschland/plz-0","","0795707980","Langenwetzendorf","","Kreis Greiz","Thüringen"
"1632988522-16369","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","31619","Binnen","","Kreis Nienburg/Weser","Niedersachsen"
"1632988457-12859","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","8441984427","Sankt Wolfgang","","Kreis Erding","Bayern"
"1632988457-13308","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","87727","Babenhausen/Schwaben","","Kreis Unterallgäu","Bayern"
"1632988546-18179","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","12249","Berlin","Berlin-Lankwitz","",""
"1632988440-12079","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","96154","Burgwindheim","","Kreis Bamberg","Bayern"
"1632988440-11377","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","90559","Burgthann","","Kreis Nürnberger Land","Bayern"
"1632988473-14376","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","79199","Kirchzarten","","Breisgau-Hochschwarzwald","Baden-Württemberg"
"1632988511-16001","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","45276","Essen/Ruhr","Essen/Ruhr-Steele","","Nordrhein-Westfalen"
"1632988501-15514","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","55559","Bretzenheim","","Kreis Bad Kreuznach","Rheinland-Pfalz"
"1632988501-15398","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","54534","Musweiler","","Kreis Bernkastel-Wittlich","Rheinland-Pfalz"
"1632988473-13797","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","72667","Schlaitdorf","","Kreis Esslingen","Baden-Württemberg"
"1632988538-17375","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","243402435424360","Gammelby","","Kreis Rendsburg-Eckernförde","Schleswig-Holstein"
"1632988440-11554","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","91637","Wörnitz","","Kreis Ansbach","Bayern"
"1632988473-14473","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","79761","Waldshut-Tiengen","","Kreis Waldshut","Baden-Württemberg"
"1632988457-12614","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","82392","Habach","","Kreis Weilheim-Schongau","Bayern"
"1632988473-13735","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","72359","Dotternhausen","","Zollernalbkreis","Baden-Württemberg"
"1632988538-17775","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","26903","Surwold","","Kreis Emsland","Niedersachsen"
"1632988522-16687","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","36163","Poppenhausen/Wasserkuppe","","Kreis Fulda","Hessen"
"1632988511-16006","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","45309","Essen/Ruhr","Essen/Ruhr-Schonnebeck","","Nordrhein-Westfalen"
"1632988501-15577","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","56235","Ransbach-Baumbach","","Westerwaldkreis","Rheinland-Pfalz"
"1632988511-15968","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","44793","Bochum","Bochum-Hamme","","Nordrhein-Westfalen"
"1632988485-14924","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","67146671576743567466","Deidesheim","","Kreis Bad Dürkheim","Rheinland-Pfalz"
"1632988423-10872","https://home.meinestadt.de/deutschland/plz-0","","04613","Lucka","","Kreis Altenburger Land","Thüringen"
"1632988485-14569","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","63329","Egelsbach","","Kreis Offenbach","Hessen"
"1632988423-10844","https://home.meinestadt.de/deutschland/plz-0","","04329","Leipzig","Leipzig-Paunsdorf","","Sachsen"
